date,btc_open,note
2012-06-15,7.0,btc_open forward-filled
2012-06-16,7.0,btc_open forward-filled
2012-06-17,7.0,btc_open forward-filled
2012-06-18,7.0,btc_open forward-filled
2012-06-19,7.0,btc_open forward-filled
2012-06-20,7.0,btc_open forward-filled
2012-06-21,7.0,btc_open forward-filled
2012-06-22,7.0,btc_open forward-filled
2012-06-23,7.0,btc_open forward-filled
2012-06-24,7.0,btc_open forward-filled
2012-06-25,7.0,btc_open forward-filled
2012-06-26,7.0,btc_open forward-filled
2012-06-27,7.0,btc_open forward-filled
2012-06-28,7.0,btc_open forward-filled
2012-06-29,7.0,btc_open forward-filled
2012-06-30,7.0,btc_open forward-filled
2012-07-01,7.0,btc_open forward-filled
2012-07-02,6.0,btc_open forward-filled
2012-07-03,5.0,btc_open forward-filled
2012-07-04,5.0,btc_open forward-filled
2012-07-05,6.0,btc_open forward-filled
2012-07-06,6.0,btc_open forward-filled
2012-07-07,7.0,btc_open forward-filled
2012-07-08,11.0,btc_open forward-filled
2012-07-09,12.0,btc_open forward-filled
2012-07-10,12.0,btc_open forward-filled
2012-07-11,11.0,btc_open forward-filled
2012-07-12,14.0,btc_open forward-filled
2012-07-13,8.0,btc_open forward-filled
2012-07-14,8.0,btc_open forward-filled
2012-07-15,8.0,btc_open forward-filled
2012-07-16,9.0,btc_open forward-filled
2012-07-17,9.0,btc_open forward-filled
2012-07-18,10.0,btc_open forward-filled
2012-07-19,9.0,btc_open forward-filled
2012-07-20,9.0,btc_open forward-filled
2012-07-21,9.0,btc_open forward-filled
2012-07-22,9.0,btc_open forward-filled
2012-07-23,9.0,btc_open forward-filled
2012-07-24,9.0,btc_open forward-filled
2012-07-25,9.0,btc_open forward-filled
2012-07-26,9.0,btc_open forward-filled
2012-07-27,9.0,btc_open forward-filled
2012-07-28,9.0,btc_open forward-filled
2012-07-29,9.0,btc_open forward-filled
2012-07-30,10.0,btc_open forward-filled
2012-07-31,10.0,btc_open forward-filled
2012-08-01,8.0,btc_open forward-filled
2012-08-02,6.0,btc_open forward-filled
2012-08-03,5.0,btc_open forward-filled
2012-08-04,5.0,btc_open forward-filled
2012-08-05,6.0,btc_open forward-filled
2012-08-06,6.0,btc_open forward-filled
2012-08-07,7.0,btc_open forward-filled
2012-08-08,12.0,btc_open forward-filled
2012-08-09,12.0,btc_open forward-filled
2012-08-10,12.0,btc_open forward-filled
2012-08-11,11.0,btc_open forward-filled
2012-08-12,14.0,btc_open forward-filled
2012-08-13,12.0,btc_open forward-filled
2012-08-14,13.0,btc_open forward-filled
2012-08-15,14.0,btc_open forward-filled
2012-08-16,14.0,btc_open forward-filled
2012-08-17,13.0,btc_open forward-filled
2012-08-18,12.0,btc_open forward-filled
2012-08-19,8.0,btc_open forward-filled
2012-08-20,10.0,btc_open forward-filled
2012-08-21,10.0,btc_open forward-filled
2012-08-22,10.0,btc_open forward-filled
2012-08-23,11.0,btc_open forward-filled
2012-08-24,11.0,btc_open forward-filled
2012-08-25,11.0,btc_open forward-filled
2012-08-26,11.0,btc_open forward-filled
2012-08-27,11.0,btc_open forward-filled
